name,stocking_info,longitude,county,latitude,alt,size,location
Lost,,-121.657969,Pierce County,46.942833,5528,6.5,46.942833 -121.657969
Buckhorn,,-123.113284,Jefferson County,47.837982,5113,1.2,47.837982 -123.113284
Doubtful,,-121.047633,Chelan County,48.473985,5390,29.9,48.473985 -121.047633
Monogram,,-121.280465,Skagit County,48.556917,4877,28.7,48.556917 -121.280465
Berdeen - Lower,,-121.477572,Whatcom County,48.706932,4473,7.3,48.706932 -121.477572
Berdeen - Upper,,-121.470262,Whatcom County,48.725722,5067,9.2,48.725722 -121.470262
Dougs,,-121.365115,Whatcom County,48.721943,3949,5.8,48.721943 -121.365115
Skymo - Upper,,-121.10575,Whatcom County,48.833582,5282,0.6,48.833582 -121.10575
Deer (1),,-123.823782,Clallam County,47.926653,3525,8.5,47.926653 -123.823782
Long,,-123.773447,Clallam County,47.922571,3839,14.2,47.922571 -123.773447
Constance,,-123.14226,Jefferson County,47.750726,4669,10.6,47.750726 -123.14226
Elk,"Cutthroat trout: 2011-09-20 00:00:00__808,Cutthroat trout: 2009-09-19 00:00:00__780,Cutthroat trout: 2007-09-15 00:00:00__600,Cutthroat trout: 2006-09-18 00:00:00__829,Cutthroat trout: 2003-09-20 00:00:00__800,Cutthroat trout: 2001-09-27 00:00:00__800",-121.795763,Skamania County,46.021834,4689,12.5,46.021834 -121.795763
Art,"Cutthroat trout: 2012-08-29 00:00:00__60,Cutthroat trout: 2011-10-14 00:00:00__60,Cutthroat trout: 2010-08-19 00:00:00__60,Cutthroat trout: 2008-08-25 00:00:00__67,Cutthroat trout: 2007-08-14 00:00:00__79,Cutthroat trout: 2006-08-31 00:00:00__87,Cutthroat trout: 2004-09-14 00:00:00__60,Cutthroat trout: 2003-09-03 00:00:00__60,Cutthroat trout: 2002-09-18 00:00:00__71,Cutthroat trout: 2001-10-01 00:00:00__64,Cutthroat trout: 2000-09-12 00:00:00__76",-121.607602,Lewis County,46.602913,3839,1.6,46.602913 -121.607602
Fish - Little,"Brook trout: 2013-07-09 00:00:00__500,Brook trout: 2011-07-29 00:00:00__501,Brook trout: 2010-07-21 00:00:00__451,Brook trout: 2009-07-06 00:00:00__225,Brook trout: 2008-07-22 00:00:00__506,Brook trout: 2007-06-26 00:00:00__500,Brook trout: 2006-06-27 00:00:00__501,Brook trout: 2004-06-21 00:00:00__500,Brook trout: 2003-06-18 00:00:00__300,Brook trout: 2001-05-22 00:00:00__524,Brook trout: 2000-06-28 00:00:00__500",-121.701643,Skamania County,46.155452,3554,3.6,46.155452 -121.701643
Elk,"Brown trout: 2002-07-17 00:00:00__2,000",-122.235863,Skamania County,46.335203,3973,27.3,46.335203 -122.235863
Eunice,"Brook trout: 2013-07-16 00:00:00__480,Brook trout: 2011-08-10 00:00:00__489,Brook trout: 2009-07-21 00:00:00__250,Brook trout: 2007-06-29 00:00:00__289,Brook trout: 2003-07-08 00:00:00__480,Brook trout: 2001-06-19 00:00:00__650,Brook trout: 2000-06-21 00:00:00__650",-121.824783,Skamania County,46.00508,4316,4.8,46.00508 -121.824783
Goose Lake,"Brook trout: 2011-06-27 00:00:00__6,006,Brook trout: 2010-08-18 00:00:00__2,899,Brook trout: 2010-08-18 00:00:00__11,439,Brook trout: 2010-07-27 00:00:00__387,Brook trout: 2008-08-08 00:00:00__6,415,Brook trout: 2000-07-18 00:00:00__300,Brown trout: 2011-10-10 00:00:00__520,Brown trout: 2009-06-12 00:00:00__4,500,Cutthroat trout: 2009-09-16 00:00:00__1,766,Cutthroat trout: 2009-06-17 00:00:00__869,Cutthroat trout: 2007-09-15 00:00:00__1,610,Cutthroat trout: 2007-09-13 00:00:00__1,610",-121.764446,Skamania County,45.941185,3110,73.6,45.941185 -121.764446
Airplane,,-121.006674,Chelan County,48.002594,5305,9.4,48.002594 -121.006674
Bannock - Middle,,-120.972715,Chelan County,48.260666,5929,6.9,48.260666 -120.972715
Bannock - Upper,,-120.968671,Chelan County,48.257043,5934,11.8,48.257043 -120.968671
Blue,,-120.670502,Chelan County,48.5059,6259,14.4,48.5059 -120.670502
